,title,rating,comment,date
577,4:20 Anywhere and Anytime,5.0 stars,My battery charges in about 2 hours and last well after a long day of use. I take this to shows and no one looks twice at it. Discreet and reliable!,"August 12, 2020"
578,fits in hand nicely and holds a charge,5.0 stars,the cutoff is set low so it keeps it from overheating I like the smooth draw and flavor is excellent quick charge that lasts for days with regular use. looking for an upgrade or something different give Biiig Stiiizy a try.,"June 25, 2020"
579,Best Pack IMO,5.0 stars,Ive tried the rest and the BIIG battery is well worth the cost. Hits hard and lasts long. I've had mines almost a 9 months before it was lost down a storm drain and have been trying to find one in stock ever since. Always sold out and for a good reason. Good work on the design and the build is pretty sturdy as well.,"June 20, 2020"
580,Buying my 2nd,5.0 stars,"Solid, speak, and packs a punch on the rip$$$$worth every penny","June 03, 2020"
581,BIG RIPS,5.0 stars,"Listen she bulky a little but packs a PUNCH, you get good battery life and nice clouds 🌬🧚‍♂️ 10000/10 best battery I’ve owned, I even decorated with some stickers made it look dope","May 15, 2020"
582,Love!,5.0 stars,I got mine in purple. This is my first time using STlllZY and I don’t think I’ll be changing anything anytime soon! The Gelato Pod is my favorite!,"April 28, 2020"
583,Stiiizy,5.0 stars,Love it. Battery lasts longer and is more durable than the others. Would definitely recommend it,"April 10, 2020"
584,amazing,5.0 stars,the battery hits so good when youre using it,"March 05, 2020"
585,Definitely Convenient,5.0 stars,Worth your money for the confidence and potency.,"February 24, 2020"
586,nice battery,5.0 stars,"its kinda light but the battery does last, dont call none of this self promoter losers sellin pesticides they some low lifes","December 05, 2019"
587,Battery lasts a long time,5.0 stars,Lasted me a week before I noticed a dip in power no joke. Went through almost the whole cart on one charge. Super convenient,"October 06, 2019"
588,Good,5.0 stars,Battery last longer 👍,"September 07, 2019"
589,Bigger and better,5.0 stars,This battery is a beast. Huge hits and long lasting battery. Can’t go back to the small ones. Once you get the biiig!,"August 25, 2019"
590,Life battery is great,5.0 stars,"I could be smoking from the morning till night and it wouldn’t overheat, Tun out of battery or something like that.","August 11, 2019"
591,Best battery ever,5.0 stars,By far the best battery I’ve had hits hard,"June 04, 2019"
592,Love big stiiizy,5.0 stars,Love big stiiizy it charges fast lasts long and gives good rips still small enough to take everywhere,"May 30, 2019"
593,BIIG is right!!!,5.0 stars,"The name speaks for itself you take BIIG hits with this battery!!! While still keeping that slick design. STIIZY definitely did this one right! My buddy and I call the hits when you wait for the light to blink, The Iron Lung Challenge. I’m using mine with Sour Diesel doing a review for that as well. I recommend anyone this battery! Hit the #ironlungchallenge.","May 14, 2019"
594,💚💚,5.0 stars,Love this one just wish you would drop colors now!,"April 26, 2019"
595,Go BIIIG,5.0 stars,Best product ever:),"April 16, 2019"
596,Worth it 💯,5.0 stars,"Purchased mine from a licensed delivery service and even though I had to pay taxes with the New Sour Diesel gram as well, I don’t regret it at all 🚫🧢. Keep them coming STIIIZY ✅","March 30, 2019"
597,"yup so glad I stuck to stiiizy ,strong ass hits !",5.0 stars,battery is super long lasting and yup yup I love how sleek it is and I'm gonna order another one I can see the blue and red etc colors coming if everyone begs there hands on one .the hype for this is no joke man I love how it hits the taste is purer of thc and Flavor.,"March 24, 2019"
598,Yesss!,5.0 stars,"Ordered the Biiig Stiiizy on Saturday, had it by Thursday. Big hits; great pod strands; doesn’t disappoint.","March 24, 2019"
599,Legit!!!!,5.0 stars,Man this pen is super legit!!! It actually charged faster than the smaller one. Bout that Stiizy life!!!,"March 22, 2019"
600,fucking amazing!!!!,5.0 stars,"never had a problem, always have fire shit worth the price, no leaks or anything so far from them amazing people always will be a customer","March 15, 2019"
601,.,5.0 stars,NEED IT NOW,"March 12, 2019"
602,It’s lit!!,5.0 stars,ITS LIT 550 battery ??!!!,"March 12, 2019"
603,"👏🏾STIIIZY BIG, Home Run!",5.0 stars,"This is a product that is truly setting the trend on what people want in a vape. It’s a smooth pull that is always consistent combined with a OG Kush Pod, Perfect! STIIIZY has been out running everyone when is comes to any cannabis products, just an all well fact! Much luv, Keep it up!!!","May 28, 2023"
604,Hits way better then the original,5.0 stars,"This battery is an awesome upgrade. it's got good air flow and gives you nice big hits. The only thing I wish was different is that the pod (1g) would sit deeper in the battery and not protrude out so far. I would like even better if it actually covered the pod completely so that no light could get to the oil. Its bigger then the original battery so it's harder to conceal. It also has a nice sturdy heavy duty design. So in conclusion, other than my personal opinions, everything else about it is perfect and I would highly recommend it to anyone.","April 24, 2023"
605,looks sweet.,5.0 stars,wow would really be interested in this.,"April 05, 2023"
606,upgrades are always a good thing,5.0 stars,"upgrades are always a good thing, upgrading to this bigger device is a no brainer","October 15, 2022"
607,love it,5.0 stars,first time I seen a STIIIKY was in Calif My niece just brought one and let me try it and I give it a 👍 and recommend to other Best in town,"January 29, 2022"
608,A very good battery!,5.0 stars,"With a good battery, I can vape longer 😁","November 30, 2021"
609,All in all great,5.0 stars,"Minimalist design, good texture and a very very good battery that could last a day","November 14, 2021"
610,Nice device,5.0 stars,"Lasts, big pulls too","October 30, 2021"
611,All day long,5.0 stars,With the battery this can keep me all day,"October 15, 2021"
612,Lasts,5.0 stars,"Holds a charge longer, great overall","October 15, 2021"
613,Great for starters,5.0 stars,Great starter kit! Big batteries! Love the way it hits and the design.,"October 07, 2021"
614,Smooth high,5.0 stars,Experienced a pretty awesome smooth high off this. Satisfied.,"September 19, 2021"
615,Fire,5.0 stars,It was fire definitely would recommend!,"September 17, 2021"
616,Good starting kit,5.0 stars,Friend recommend I try out pods. By far the best kit for noobs I have seen on offer so far! Big package for such a cheap deal!,"September 16, 2021"
617,Groovy kit meets my needs!,5.0 stars,I have but one complaint! A BIIIG kit should have a half gram sample of each of STIIIZY THC vape cartridges for free!!!!! 🤔,"September 02, 2021"
618,Good starter,5.0 stars,This device works great!,"August 14, 2021"
619,The best there is!,5.0 stars,The best there is! And the customer service is amazing,"July 03, 2021"
620,awesome battery life just a little pricey,5.0 stars,dope battery life and fast charging only con is it is expensive,"July 01, 2021"
621,Stiiizy,5.0 stars,So far so good. Able to medicate discreetly,"June 30, 2021"
622,This is like SMOK of the vape world,5.0 stars,Instantly when I saw it I fell in love reminded me of the SMOK Nord and how powerful of a hit you can get from it. Once you get the Biiig Stiiizy Pak u just never go back because there’s nothing u can compare to it. Long lasting rips and hits to your desired high love it wouldn’t even think of anyone else.,"November 18, 2020"
623,Great Service,5.0 stars,Get customer service both Lori and Michael were very nice and had great product.,"September 20, 2020"
624,🔥🔥,5.0 stars,Got this battery as a PAD gift. I love it! Better hits and the battery life is 👍🏻🔥🔥 Wish they made different colors!,"September 10, 2020"
625,Totally worth the extra $15,5.0 stars,"hits smoother, cleaner. And battery last longer.","August 27, 2020"
626,Stiizy,5.0 stars,Awesome place. Excellent selections,"August 14, 2020"
627,Battery,5.0 stars,Love this battery specially the new strain of tree,"August 13, 2020"
628,Satisfied,5.0 stars,Very well recommended,"July 22, 2020"
629,@AmoureMota,5.0 stars,"Hi guys I wanted to share my experience with the special STIIIZY’s BIIIG Starterkit It is A - Awesome 👏 5star rating, that I even got my hubby one so go get your ASAP","July 18, 2020"
630,I love it,5.0 stars,it's pretty cool test from,"July 03, 2020"
631,Best battery,5.0 stars,Dude..this battery is essential 👌 so happy i chose this one,"May 06, 2020"
632,love it good for long days,5.0 stars,great hits,"March 03, 2020"
633,Service,5.0 stars,Awesome and legit!,"March 01, 2020"
634,Faded as fuckkkk,5.0 stars,This shitt hits hard. Its like taking 3 hits. All i need is one hit and im good for the day.its incredible how cheap it is.,"February 14, 2020"
635,that’s more like it,5.0 stars,"Don’t know why anyone hasn’t created something such as this any sooner, definitely worth the coin.","December 20, 2019"
636,packs a bigger hit!,5.0 stars,love how much longer this battery last and the bigger hit i get from it!,"November 28, 2019"
637,In love with this,5.0 stars,Love my huge battery lol 10/10,"November 09, 2019"
638,really good,5.0 stars,this one of the fav,"November 06, 2019"
639,Thisss shiiit hits great!!,5.0 stars,OMG...,"November 02, 2019"
640,Best Product out there,5.0 stars,I only had to charge it once.. Super impressed with its battery life. Most vapes I've used die so fast.. This thing lasted the whole damn cartridge,"October 09, 2019"
641,Discreet Smoke,5.0 stars,Great handheld device plus good wax,"September 25, 2019"
642,BIG STIIIZY,5.0 stars,awesome!! a full charge will last forever,"September 19, 2019"
643,Bomb,5.0 stars,Love these,"September 07, 2019"
644,I💯💨🤯🤔💣👌,5.0 stars,This is the best vape 💨 ever,"September 04, 2019"
645,yay,5.0 stars,great,"August 31, 2019"
646,🤘🏾🤘🏾,5.0 stars,Fat rips,"August 30, 2019"
647,Best battery,5.0 stars,Works great. No problem. Fat clouds.,"August 24, 2019"
648,Awesome,5.0 stars,Keep up good work,"August 19, 2019"
649,Bigger the better right!,5.0 stars,I love this thing.,"August 19, 2019"
650,last longer,5.0 stars,great battery matched with the best carts,"August 15, 2019"
651,dope,5.0 stars,dope products! really good stuff,"August 10, 2019"
652,Great value,5.0 stars,BIIIG was a massive step up from the standard Stiiizy. The bigger battery gives it a cool beefy look and allows for a much stronger hit. Much more vapor is produced allowing for stronger effects. Only caveat is this product will drain through your pods at a significantly higher rate.,"August 09, 2019"
653,Worth It,5.0 stars,"I really liked the original Stiiizy battery. No contest though with the Biiig Battery. Great, huge hits. New favorite.","August 06, 2019"
654,nice,5.0 stars,good kit,"August 02, 2019"
655,Weed,5.0 stars,It’s put my buttout it hits good looks I’m going back for more today found the best spot,"August 01, 2019"
656,😇💎💎💎😇,5.0 stars,If you’re using Stiiizy and you don’t have a biiig🔋 I don’t know what you’re doing with your life lol jkjk 💀,"July 29, 2019"
657,Must buy,5.0 stars,If you are going to buy a stiizy it is a great idea to spend a little extra money an get this one over the regular battery 🔋,"July 26, 2019"
658,Hits like a charm!,5.0 stars,I like this one better than the rest. It can handle hard hits without overheating or getting hot. It has a smooth hits every time.,"July 24, 2019"
659,rips fat,5.0 stars,hits a lot quicker and better than the original stizzy. you can take massive rips and the battery life is inanse.,"July 23, 2019"
660,much better!!,5.0 stars,nice improvement from the original batteries ;),"July 22, 2019"
661,Dope!,5.0 stars,"Being a traditional 510 Eleaf and Ccell Dart battery user, I will have to say I approve. The battery feels light and fits right in the palm when using. The oil quality and pods hit pretty hard and the pricing is about the same as any fire cart(s).","July 21, 2019"
662,GREAT BATTERY,5.0 stars,GREAT BATTERY BUT VERY EASY TO BREAK !! I dropped it and both magnets flew out and I lost them other than that it is amazing battery,"July 20, 2019"
663,This shit hits hard,5.0 stars,"Full bodied hits encase all stiiizy pods and offer a smooth hit I have tried the mango CBd def for more high medium feeling then next I’ve heard ,any great things about sky walker","July 20, 2019"
664,Yeet,5.0 stars,Yah,"July 16, 2019"
665,🔥,5.0 stars,🔥,"July 16, 2019"
666,Solid Battery,5.0 stars,"Really enjoying this battery. Had the original stiiizy when it came out, then moved to this one. Great function and longer battery life is nice to have!","July 09, 2019"
667,The boss,5.0 stars,The real deal of batteries. Hits perfectly. 👏🏼👏🏼,"July 08, 2019"
668,Thank you,5.0 stars,Great deal good price,"June 16, 2019"
669,One of the best,5.0 stars,No complaints with this creation it’s awesome!,"June 08, 2019"
670,Top Ranking,5.0 stars,"Just an Excellent product, got one for my Mom on her birthday along with the CBD 1:1 Mango. Thumbs up!!","June 05, 2019"
671,Love this battery,5.0 stars,This is a great for me being on the road a lot. I used to lose the old skinny battery a lot,"May 18, 2019"
672,Shit dank,5.0 stars,BiiiG hiiits,"May 14, 2019"
673,👍🤪,5.0 stars,It’s insane,"May 03, 2019"
674,go big or go home,5.0 stars,rips like a champ a little pricey but worth every penny fsho,"May 03, 2019"
675,Delieverys,5.0 stars,Delivery’s,"April 21, 2019"
676,good pod,5.0 stars,love this they be hitting harder then most,"April 13, 2019"
677,Bomb hits!,5.0 stars,This thing is pretty good for $35.,"April 11, 2019"
678,Price ???,5.0 stars,Does anyone know how much these cost I want one ?,"April 10, 2019"
679,way better,5.0 stars,big fan huge rips on these,"April 09, 2019"
680,Nice,5.0 stars,Got mine nice big hits 👍👍,"April 09, 2019"
681,😎😎😎😎,5.0 stars,bought my new battery this morning with a new pod and was happy with it. love the way it looks clean battery,"April 08, 2019"
682,Cloudzzzzz,5.0 stars,😙💨💨💨💨💨💨💨💨💨,"April 04, 2019"
683,BiiiG Stiiizy,5.0 stars,"It hits very nice! You can taste more of the THC hits fatter, charges quicker, and last way longer!","April 02, 2019"
684,BIIIG STIIIZY,5.0 stars,Good stuff.👍🏽,"March 30, 2019"
685,ROOT215 HAS IT IM GETTING MINES DELIVERED TODAY,5.0 stars,I hope this product lives up too the hype first time getting a vape pen,"March 30, 2019"
686,what shop has these,5.0 stars,biiig,"March 29, 2019"
687,bought 2! it rips!,5.0 stars,after a long wait I finally got the batterys and they hit soooooo hard! they also charge faster! would like to see new colors for this battery. I recommend dark green,"March 29, 2019"
688,Sick looking pen,5.0 stars,Where can I get one!,"March 29, 2019"
689,The King Is Here 💨💨💨,5.0 stars,OMFG this battery hits like a champ !!! this battery is the king of batteries 🤑🤑 hands down the best batteries I've used absolutely love it !!! keep up the great work stiiizy !!!,"March 29, 2019"
690,Can we please get these somewhere near Burbank,5.0 stars,I’ve been waiting a week. I’m so sick of waiting,"March 26, 2019"
691,rips like a champ 💪,5.0 stars,got both the new biiig battery with the new sour dissel pod and let's just say I've been on cloud 9 since💭💭💭 love the new battery it seriously rips like no other !!!,"March 26, 2019"
692,dope deals!!,5.0 stars,dope dope dope deals!!!,"March 22, 2019"
693,Can't wait...,5.0 stars,"Ordered mine directly from their website this past week and it's due to arrive today. Love their other products, can't wait to test this one out!","March 18, 2019"
694,Amazing!,5.0 stars,Omg the hits are so big and good! I’m in love !!!,"March 17, 2019"
695,Amazing,5.0 stars,Biiig hits 👍🤙🌬💨💨,"March 16, 2019"
696,when,5.0 stars,they need to hurry and get these out to socal,"March 14, 2019"
697,Gold standard,5.0 stars,Gold standard in black,"November 15, 2021"
698,good kit,5.0 stars,got a good one been wanting something easy to work with,"September 27, 2019"
699,Most definitely..,4.0 stars,Much better then then regular battery 🔋 clouds 💨are much better my ONLY issue is kinda seem like I’m going thru my pods much faster definitely burning the oil alot faster🤔,"February 13, 2021"
700,Great battery,4.0 stars,"Love the style the size and everything about it absolutely no problem. Only thing is when I went to get it from charging the first time. I pulled out the charger and the casing of the pen came along with it ! Wtf ? I thought it had broken. I pushed it back in place and it actually shocked me really good. Like zapped me, I was a lil scared to use it again but now I am extremely careful and I am going to get a case for it. Other than that it’s a solid pen, my I just bought a defective one. Also the magnit can be a little stronger on mine particular","August 07, 2019"
701,new battery,4.0 stars,yo i love the new big battery too.. BUT MINE STOP WORKING AFTER LIKE TWO MONTHS BUMMED OUT TO SAY THE LEAST,"June 29, 2019"
702,Fell apart after a month,4.0 stars,I love this battery I would give it 5/5 if it didn’t stop working and fall apart after a month of babying it,"June 25, 2019"
703,Well it lasted 6 months.,4.0 stars,One of the magnets from inside the biiig stiiizy port fell out. It actually came off with the pod. So it was fun while it lasted.,"October 24, 2019"
704,Top quality,4.0 stars,"I love their products, it's amazing.","November 19, 2020"
705,Works great,4.0 stars,"never tried the smaller size, so can't compare, but this battery works great, holds a charge and does what it's supposed to do with no fuss","October 27, 2019"
706,xɐlǝɹ oʇ pǝǝu llɐʎ ʎʎʎʎɐʞo sʇᴉ,4.0 stars,"As ʙɪɢ ᴏғ ᴀ ғᴀɴ ᴀs ɪᴍ ɴᴏᴛ ᴏғ sᴛɪɪɪᴢʏ ɪ ᴡɪʟʟ sᴀʏ ᴛʜᴇ ʙɪɪɪɢ sᴛɪɪɪᴢ ʙᴀᴛᴛᴇʀʏ ʟᴀsᴛs ᴀ sɪɢɴɪғɪᴄᴀɴᴛʟʏ ʟᴏɴɢᴇʀ ᴛɪᴍᴇ ᴛʜᴀɴ ᴛʜᴇ ᴏʀɪɢɪɴᴀʟ sᴛᴀʀᴛᴇʀ ʙᴀᴛᴛᴇʀɪᴇs. Aɴᴅ ᴡɪᴛʜ ᴇᴠᴇʀʏ ᴘʀɪᴢᴇ ʏᴏᴜ ᴘᴀʏ ᴀ ᴘʀɪᴄᴇ, ᴄᴀʀᴛ ɢᴏɴ ғᴀsᴛ ʟᴏʟ 🤷🏻‍♀️🤦🏻‍♀️ ʀᴀʀᴇʟʏ ᴇᴠᴇʀ ʙᴜʏ ᴇᴍ ʟɪᴋᴇ ᴛʜᴀᴛ sᴏ ᴅɪᴅɴᴛ ᴄᴀʀᴇ ʜᴏᴡ ғᴀsᴛ ɪᴛ ᴡᴇɴᴛ ʟᴏʟ ᴛʜᴇ ""sᴛᴀʏᴄᴀᴛɪᴏɴ” ʟᴇᴠᴇʟ ᴏғ ᴄᴀʀᴛs -- ғᴜɴ ǫᴜɪᴄᴋ ʟɪᴛᴛʟᴇ ʀɪᴅᴇ/ɢᴇᴛᴀᴡᴀʏ/ᴠɪsɪᴛ 😅😁😎 ᴀᴘᴘʀᴇᴄɪᴀᴛᴇᴅ sᴛɪɪɪᴢʏ 🖤","June 15, 2019"
707,Its koo',4.0 stars,kills the carts quicker but defiently worth it for the bigger hits. gets you higher faster.,"May 13, 2019"
708,Quality,4.0 stars,Great prices and quality safe Rec,"April 10, 2022"
709,No Complaints,4.0 stars,Battery almost never runs out,"March 24, 2022"
710,Nice stuffs,4.0 stars,"it's been long I taste raw shits, they got me today.","November 19, 2020"
711,Good design and strong hit,4.0 stars,"The advanced kit hits pretty good. The design is nice and sleek and easy to conceal., It's a nice vape as long as it doesn't die on me like most vapes have","July 25, 2019"
712,killin my carts lol,4.0 stars,this shit hitts heavy as f** I kill about half g a day it's amazing but they go out if you hit them to crazy but still bomb I'll keep buying them,"July 09, 2019"
713,9 out of 10 . i aint talking dwade.,4.0 stars,so far had this battery for 4 days now only needed to charge it the day i bought it. hasnt been producing less power its been consistent and i wonder when ill have to charge it again... wouldve gave 10/10 . But i just dont see how it hits better than the regular battery its like the same thing. only the starter kit would rip less once its about to die. i hope this one doesnt any time soon,"May 02, 2020"
714,Mechanical Decline,3.0 stars,"The new battery from stiizy is an anomaly. It's bases ahead of its previous revision with additional power and refined casing hull that's thicker and more hand comfortable. The first version had difficulties maintaining power thru the day with heavy usage. This battery now can withstand some abuse and still require more of your time. Problematic however is that it feels cheap. For the price point of $35, it shouldn't feel inconsistent on developmental quality which the first metal battery didn't encompass. It gets worst as the lazy engineering can't seem to get a pod to fit properly without movement when combined. The feeling of a misplaced pod may be a constant reality if your not careful. What this battery should be has passed. Maybe the next revision will implement these changes.Between both stiizy battery's this is the better choice by a slim margin.","August 09, 2019"
715,Ripped hard at first....,3.0 stars,"I was really impressed with this battery when I first got it, it was producing some really thick milky hits that were getting me super baked. After about 2 weeks, the voltage has already depleted and it’s not hitting any better than the original battery. In fact, it might be hitting a little worse, I’m taking some long draws off this thing and it’s producing some pretty weak clouds and my high is not as good as it was before. I love stiiizy but this was a disappointment. Might just stick with the old battery","June 22, 2019"
716,BUTTONS PLEASE,3.0 stars,serious guys why don't you have BATTERIES WITH A DAMN BUTTON.Sorry but pens that only hit when you draw just dont get that customized big hit.This is the one of the only reasons I don't buy STIIZY that much and when I do I get the SYRINGES so I can use a battery with a BUTTON. Hey but at least you guys sell your concentrates in SYRINGES cause I think every cartridge company should do that .,"April 16, 2019"
717,Big stiiizy batt,3.0 stars,Don’t get me wrong the battery smacks for sure but I’ve had a couple of times where It heated up my cart way too hot not to the point where I burn the wax but it was pretty warm but this one time I bought there live resin cartridge and almost halfway through the cartridge it burnt my wax they completely ruin the live resin cartridges.,"April 16, 2021"
718,Don't like the feel,3.0 stars,Battery doesn't feel like it's significantly longer lasting than the original but hits like a champ. Sometimes changing the flavors profile of the hit you are taking. That could be both bad and good.. If you're new to the stiizy battery I recommend you buy an extra battery in the future,"December 16, 2020"
719,Just vaping,3.0 stars,Yesterday 03/30/19 I went in to LA Kush collective in East La for a stiiizy patient appreciation day and it was buy one gram get a battery for a $1.00 so I bought 2grams and was able to get the new Biiig Stiiizy battery but unfortunately my battery is not working correctly.Went back to LA Kush and fortunately I was able to speak to the girl who was doing the Stiiizy promotion but unfortunately she couldn’t swap it cuz she was out of battery she was a blonde girl but I forgot but she told me to write a review and see what you guys are able to do for me because the dispensary also didn’t have the battery hope to hear from you guys soon PS your stiiizy Pods are still FIRE,"March 31, 2019"
720,BIIIG,3.0 stars,Higher temp kills your pod more quickly,"June 18, 2020"
721,Kills carts super quick,2.0 stars,Uses and excessive amount of wax for no reason if u want something to get u super smacked then get a plug and play but otherwise the normal battery is fucking incredible,"June 10, 2019"
722,Burns,2.0 stars,Idk if it just coincidence or not but right when I got the big battery my pods started tasting burnt,"September 10, 2020"
723,didn't even last 2 weeks.,2.0 stars,everything was going great. my first time trying stiiizy products. after 10 days it no longer works. won't even charge. doesn't light up at all. very disappointed.,"March 15, 2022"
724,Disappointed Big Stiizy,2.0 stars,"I ordered & paid for the Big Stiizy, but received the small one. My husband was upset with me, cuz he told me to buy the big one! But he had already used it so I couldn’t return it. 😟","November 05, 2022"
725,"Hesitant giving this poor grade, but...",2.0 stars,"The BIIIG boy hits great, it hits hard, it hits you in your brain and in your toes, but it also doesn't hit 80% of the time. I have found that having to hit the smaller battery more frequently with smaller intakes. With the BIIIG, we have to grab any inserted pod with our teeth, and apply downward pressure to ensure it actually recognizes the pod in it. Lots of pressure. I have bought 2 for my wife and myself, and it happened with both. The pods used in these situations work amazingly on the STIIIZY regular batteries. I love the pods, but I am disappointed with this particular battery that doesn't seem to want to accept a pod, flashing it's lights at you all the way. If there is anything I want to stress, it's that the pods of either size and regular batteries work wonders, with many options of each. So go look at their reviews, and pass this product.","October 05, 2021"
726,I got electrocuted!!,1 star,Charged the vape for the first time. When I tried to unplug the vape? The cord stayed inside and the entire outer casing came off! Electrocuted myself putting it back on. Unit should not fall apart in under 12 hours. Would love to get in contact with stiiizy over taking this to a higher authority. Been a user of stiiizy for over a year and I love the rest of the products.,"July 11, 2019"
727,Still not as good as plug and play,1 star,Stizzy flavors are good but don’t smack like a plugplay . FYI good luck smoking half grams with this one . I would smoke mine in like two days a day because it cart hot,"December 07, 2019"
728,Horrible Batteries,1 star,I have purchased both the small battery and the BIIG battery and both have yet make it threw one tip before it stops working. I love the way it hits. I like the new style. BUT MAKE A BATTER BATTERY. I dont want to put out $35 every month for a battery to be able to smoke a .5gram! its crazy,"September 21, 2021"
729,wow,1 star,great way for me to smoke through my cart faster. I finished a half gram in a day with this battery. what a waste,"November 16, 2019"
730,Garbage,1 star,I bought the big battery today and the cartridge. Charged to white. Doesn’t work,"September 28, 2019"
731,Don’t buy this online,1 star,I ordered a big battery and when I got there they gave me the original one and I went back to see if I could get the one I ordered which was the big one and they said no it was a bug from weedmaps so now I just have the normal battery smh,"June 01, 2023"
732,don’t,1 star,loose booty vape battery,"February 23, 2022"
733,BIIIG STIZZY,1 star,I bought this about a month ago and used it for about a week no longer works Light comes on but it does not hit After I paid $50 for a cartridge What a piece of junk avoid Or suffer the consequences,"January 28, 2020"
734,Doesnt work,1 star,"I ordered my Big Stiiizy from the Stiiizy store on line. I charged it, its the white light, but it doesnt work. I have 2 other regular Stiiiizy batteries and they work find. Any suggestions at all as to what I can do to get this one to work for me.","September 26, 2019"
735,Honestly Trash,1 star,Man I love stiiizy I bought this battery and had it for 26 hours. I had it in my lap didnt see it got out of my car and it fell 2 feet to the ground and it just shattered in to 2 pieces and no longer works for 35 bucks its poorly made.,"January 04, 2021"
736,Burns flavor in the pod,1 star,It’s a good battery but you can’t consistently hit it without burning the cartridge. Compared to the small battery the big battery doesn’t really work like you think it would. honestly the small battery allowed me to hit my cartridge consistently without burning the cart.,"September 05, 2022"
737,Trash,1 star,what do you expect from a bad company haha,"July 27, 2021"
738,bring the Biiig batteries to VEGAS!!,1 star,bring the Biiig batteries to VEGAS!! they aren't available in Nevada at all,"August 11, 2020"
739,STIIIZY's BIIIG Starter Kit - Black,,STIIIZY,
